Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
99926,2016,Cluster 1,Region 8,No,No
99928,2016,Cluster 1,Region 4,No,No
99934,2016,Cluster 2,Region 9,No,No
99944,2016,Singleton,Region 6,No,No
99974,2016,Cluster 2,Region 9,No,No
99980,2016,Cluster 1,Region 9,No,No
100029,2016,Cluster 2,Region 9,No,No
100031,2016,Cluster 1,Region 7,No,No
100044,2016,Cluster 1,Region 9,No,No
100052,2016,Cluster 2,Region 10,No,No
100059,2016,Cluster 1,Region 9,No,No
100070,2016,Cluster 2,Region 10,No,No
100082,2016,Cluster 1,Region 9,No,No
100088,2016,Cluster 1,Region 8,No,No
100109,2017,Cluster 1,Region 2,No,No
100134,2017,Cluster 1,Region 5,No,No
100143,2017,Cluster 1,Region 6,No,No
100154,2019,Cluster 1,Region 6,No,No
100167,2019,Cluster 1,Region 10,No,No
100182,2019,Cluster 1,Region 6,No,No
100212,2017,Cluster 1,Region 6,No,No
100233,2017,Singleton,Region 4,No,No
100238,2017,Cluster 1,Region 6,No,No
100245,2017,Cluster 2,Region 5,No,No
100250,2017,Cluster 1,Region 5,No,No
100260,2019,Cluster 2,Region 9,No,No
100275,2019,Cluster 1,Region 10,No,No
100306,2019,Cluster 1,Region 6,No,No
100309,2019,Cluster 6,Region 10,No,No
100382,2016,Cluster 2,Region 8,No,No
100397,2016,Cluster 1,Region 9,No,No
100416,2019,Cluster 1,Region 10,No,No
100429,2019,Cluster 2,Region 5,No,No
100452,2019,Cluster 1,Region 4,No,No
100459,2019,Cluster 2,Region 7,No,No
100475,2019,Cluster 1,Region 7,No,No
100494,2017,Cluster 1,Region 1,No,No
100505,2017,Cluster 1,Region 7,No,No
100525,2019,Cluster 1,Region 7,No,No
100533,2018,Cluster 1,Region 5,No,No
100546,2018,Cluster 1,Region 8,No,No
100566,2017,Cluster 2,Region 10,No,No
100569,2019,Cluster 2,Region 1,No,No
100576,2017,Cluster 1,Region 10,No,No
100594,2017,Cluster 2,Region 9,No,No
100614,2017,Cluster 2,Region 9,No,No
100625,2017,Cluster 1,Region 2,No,No
100626,2017,Cluster 1,Region 6,No,No
100666,2016,Cluster 1,Region 5,No,No
100690,2016,Cluster 2,Region 10,No,No
100692,2016,Cluster 2,Region 5,No,No
100702,2016,Cluster 1,Region 5,No,No
100721,2016,Cluster 1,Region 7,No,No
100733,2018,Cluster 1,Region 9,No,No
100744,2018,Cluster 2,Region 6,No,No
100755,2018,Cluster 2,Region 8,No,No
100769,2018,Cluster 2,Region 6,No,No
100806,2017,Cluster 2,Region 9,No,No
100809,2017,Cluster 2,Region 10,No,No
100840,2017,Cluster 2,Region 9,No,No
100851,2018,Cluster 1,Region 2,No,No
100855,2017,Cluster 1,Region 10,No,No
100869,2017,Cluster 2,Region 6,No,No
100895,2017,Cluster 1,Region 5,No,No
100911,2018,Cluster 1,Region 6,No,No
100922,2017,Cluster 2,Region 5,No,No
100925,2017,Cluster 2,Region 5,No,No
100933,2017,Cluster 2,Region 6,No,No
100937,2018,Cluster 1,Region 5,No,No
100945,2017,Cluster 1,Region 9,No,No
100961,2018,Cluster 1,Region 6,No,No
100985,2018,Cluster 5,Region 3,No,No
100996,2017,Cluster 1,Region 9,No,No
101001,2017,Cluster 1,Region 7,No,No
101007,2017,Singleton,Region 3,No,No
101045,2018,Cluster 2,Region 9,No,No
101063,2016,Cluster 2,Region 6,No,No
101064,2017,Cluster 1,Region 6,No,No
101068,2016,Cluster 1,Region 10,No,No
101071,2017,Cluster 1,Region 9,No,No
101111,2016,Cluster 2,Region 9,No,No
101160,2017,Cluster 1,Region 8,No,No
101162,2018,Cluster 2,Region 7,No,No
101181,2018,Cluster 1,Region 7,No,No
101200,2018,Cluster 1,Region 3,No,No
101217,2018,Cluster 1,Region 7,No,No
101223,2017,Cluster 2,Region 5,No,No
101260,2016,Cluster 2,Region 10,No,No
101269,2016,Cluster 1,Region 10,No,No
101299,2016,Cluster 1,Region 8,No,No
101308,2017,Cluster 1,Region 7,No,No
101315,2017,Cluster 1,Region 9,No,No
101333,2017,Cluster 1,Region 9,No,No
101350,2016,Cluster 1,Region 7,No,No
101373,2016,Cluster 1,Region 7,No,No
101381,2016,Cluster 1,Region 10,No,No
101385,2016,Cluster 1,Region 7,No,No
101414,2017,Cluster 1,Region 3,No,No
101424,2017,Cluster 1,Region 9,No,No
101428,2017,Cluster 1,Region 9,No,No
101463,2015,Cluster 1,Region 7,No,No
101477,2015,Cluster 1,Region 7,No,No
101496,2015,Cluster 1,Region 7,No,No
101508,2015,Cluster 1,Region 7,No,No
101538,2015,Cluster 1,Region 4,No,No
101553,2015,Cluster 2,Region 5,No,No
101585,2019,Singleton,Region 6,No,No
101598,2019,Cluster 2,Region 10,No,No
101599,2019,Cluster 1,Region 8,No,No
101667,2016,Singleton,Region 5,No,No
101670,2016,Cluster 1,Region 2,No,No
101703,2019,Cluster 1,Region 8,No,No
101718,2019,Cluster 1,Region 5,No,No
101790,2019,Cluster 2,Region 10,No,No
101795,2019,Cluster 2,Region 10,No,No
101828,2017,Cluster 1,Region 5,No,No
101836,2016,Cluster 2,Region 6,No,No
101848,2016,Cluster 1,Region 6,No,No
101865,2016,Cluster 1,Region 10,No,No
101866,2016,Cluster 2,Region 10,No,No
101868,2016,Cluster 2,Region 6,No,No
101881,2016,Cluster 1,Region 2,No,No
101887,2016,Cluster 1,Region 7,No,No
101889,2016,Cluster 1,Region 7,No,No
101946,2016,Cluster 1,Region 6,No,No
101961,2016,Cluster 1,Region 8,No,No
102010,2015,Cluster 1,Region 10,No,No
102016,2015,Cluster 1,Region 7,No,No
102029,2015,Cluster 1,Region 2,No,No
102033,2015,Cluster 1,Region 6,No,No
102034,2015,Singleton,Region 5,No,No
102045,2015,Cluster 1,Region 8,No,No
102075,2015,Cluster 1,Region 6,No,No
