Isolate_ID,year,cluster_id,US_region,Michigan_human,Michigan_cattle
129862,2022,Cluster 1,Region 6,No,No
129995,2022,Cluster 1,Region 6,No,No
130067,2022,Cluster 1,Region 9,No,No
130142,2022,Cluster 1,Region 7,No,No
130159,2022,Cluster 1,Region 8,No,No
130165,2022,Cluster 1,Region 6,No,No
130209,2022,Singleton,Region 3,No,No
130212,2022,Cluster 2,Region 9,No,No
130284,2022,Cluster 1,Region 3,No,No
130303,2022,Cluster 3,Region 5,No,No
130364,2022,Cluster 2,Region 9,No,No
130383,2022,Cluster 2,Region 7,No,No
130441,2022,Cluster 2,Region 10,No,No
130445,2022,Cluster 1,Region 3,No,No
130447,2022,Cluster 1,Region 4,No,No
130481,2022,Cluster 1,Region 5,No,No
130529,2022,Cluster 2,Region 2,No,No
130531,2022,Cluster 1,Region 9,No,No
130585,2022,Cluster 1,Region 4,No,No
130641,2022,Cluster 1,Region 5,No,No
130675,2022,Singleton,Region 3,No,No
130812,2022,Cluster 2,Region 10,No,No
130868,2022,Cluster 2,Region 8,No,No
130881,2022,Cluster 3,Region 6,No,No
131221,2022,Cluster 1,Region 4,No,No
131230,2022,Cluster 2,Region 5,No,No
131579,2022,Cluster 1,Region 9,No,No
131580,2022,Cluster 1,Region 9,No,No
131696,2022,Cluster 1,Region 8,No,No
131846,2022,Cluster 3,Region 5,No,No
131856,2022,Cluster 1,Region 2,No,No
131995,2022,Cluster 1,Region 8,No,No
132143,2022,Cluster 1,Region 5,No,No
132213,2022,Cluster 2,Region 10,No,No
132218,2022,Cluster 2,Region 5,No,No
132326,2022,Cluster 1,Region 7,No,No
132339,2022,Cluster 1,Region 7,No,No
132348,2022,Cluster 2,Region 10,No,No
132439,2022,Cluster 2,Region 10,No,No
132482,2022,Cluster 1,Region 7,No,No
132540,2022,Cluster 1,Region 7,No,No
132632,2022,Cluster 1,Region 4,No,No
132660,2022,Cluster 2,Region 9,No,No
132765,2022,Cluster 1,Region 4,No,No
132787,2022,Cluster 3,Region 5,No,No
132858,2023,Cluster 3,Region 4,No,No
132879,2023,Cluster 1,Region 4,No,No
132881,2023,Cluster 2,Region 9,No,No
132974,2023,Cluster 2,Region 5,No,No
132979,2023,Cluster 1,Region 9,No,No
132981,2023,Cluster 1,Region 4,No,No
132986,2023,Cluster 2,Region 7,No,No
132988,2023,Cluster 2,Region 4,No,No
133068,2023,Cluster 2,Region 8,No,No
133069,2023,Cluster 2,Region 10,No,No
133079,2023,Cluster 1,Region 7,No,No
133083,2023,Cluster 3,Region 3,No,No
133132,2023,Cluster 1,Region 10,No,No
133193,2023,Cluster 1,Region 6,No,No
133236,2023,Cluster 2,Region 5,No,No
133480,2023,Cluster 1,Region 5,No,No
133498,2023,Singleton,Region 7,No,No
133558,2023,Cluster 1,Region 10,No,No
133563,2023,Cluster 2,Region 10,No,No
134810,2020,Cluster 1,Region 4,No,No
135201,2020,Cluster 1,Region 6,No,No
135335,2020,Singleton,Region 3,No,No
135481,2020,Cluster 1,Region 3,No,No
135536,2020,Cluster 1,Region 9,No,No
136001,2020,Cluster 1,Region 6,No,No
136264,2021,Cluster 1,Region 9,No,No
136638,2021,Cluster 1,Region 4,No,No
136656,2021,Cluster 1,Region 4,No,No
137177,2021,Cluster 1,Region 6,No,No
139047,2022,Cluster 1,Region 7,No,No
139268,2022,Cluster 1,Region 9,No,No
139974,2022,Cluster 1,Region 5,No,No
140241,2023,Cluster 1,Region 4,No,No
140591,2019,Cluster 1,Region 6,No,No
140801,2019,Cluster 1,Region 4,No,No
141767,2021,Cluster 1,Region 7,No,No
141770,2021,Cluster 1,Region 7,No,No
142312,2022,Cluster 1,Region 5,No,No
142375,2022,Cluster 1,Region 9,No,No
142387,2022,Cluster 1,Region 6,No,No
142393,2022,Cluster 1,Region 6,No,No
142650,2022,Cluster 3,Region 7,No,No
143487,2012,Cluster 1,Region 5,No,Yes
143488,2012,Cluster 1,Region 5,No,Yes
143489,2012,Cluster 1,Region 5,No,Yes
143490,2012,Cluster 1,Region 5,No,Yes
143491,2012,Cluster 1,Region 5,No,Yes
143492,2012,Cluster 1,Region 5,No,Yes
143493,2012,Cluster 1,Region 5,No,Yes
